repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,num_comment_lines,comment_density,has_teardown_pair,github_url,agent_type,commit_kind,commit_type,raw_source,commit_date,repo_age_at_commit_years
malwaredllc/byob,javascript,c15a5ea5ed94982baa10fcd2edb4f9d221e86691,web-gui/buildyourownbotnet/assets/js/easy-pie-chart/test/unit/jquery.js,<anonymous>_47,before_each,48,50,3,,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/malwaredllc/byob/blob/c15a5ea5ed94982baa10fcd2edb4f9d221e86691/web-gui/buildyourownbotnet/assets/js/easy-pie-chart/test/unit/jquery.js#L48-L50,human_pre2022,human,,"beforeEach(function() {
			$canvas = $el.find('canvas');
		})",2020-11-28,2.945927446954141
malwaredllc/byob,javascript,c15a5ea5ed94982baa10fcd2edb4f9d221e86691,web-gui/buildyourownbotnet/assets/js/jquery-terminal/__tests__/terminal.spec.js,<anonymous>_1486,before_each,1487,1489,3,,0,per_test,1,1,0,1,0,0,0.0,0,https://github.com/malwaredllc/byob/blob/c15a5ea5ed94982baa10fcd2edb4f9d221e86691/web-gui/buildyourownbotnet/assets/js/jquery-terminal/__tests__/terminal.spec.js#L1487-L1489,human_pre2022,human,,"beforeEach(function() {
                cycle = new $.terminal.Cycle(a, b, c, d);
            })",2020-11-28,2.945927446954141
malwaredllc/byob,javascript,c15a5ea5ed94982baa10fcd2edb4f9d221e86691,web-gui/buildyourownbotnet/assets/js/jquery-terminal/__tests__/terminal.spec.js,<anonymous>_2055,after_each,2056,2058,3,,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/malwaredllc/byob/blob/c15a5ea5ed94982baa10fcd2edb4f9d221e86691/web-gui/buildyourownbotnet/assets/js/jquery-terminal/__tests__/terminal.spec.js#L2056-L2058,human_pre2022,human,,"afterEach(function() {
            term.destroy();
        })",2020-11-28,2.945927446954141
malwaredllc/byob,javascript,c15a5ea5ed94982baa10fcd2edb4f9d221e86691,web-gui/buildyourownbotnet/assets/js/jquery-terminal/__tests__/terminal.spec.js,<anonymous>_5742,after_each,5743,5745,3,,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/malwaredllc/byob/blob/c15a5ea5ed94982baa10fcd2edb4f9d221e86691/web-gui/buildyourownbotnet/assets/js/jquery-terminal/__tests__/terminal.spec.js#L5743-L5745,human_pre2022,human,,"afterEach(function() {
                term.destroy().remove();
            })",2020-11-28,2.945927446954141
bugy/script-server,javascript,20cf080be609df19d30d3400c80c08c1e7876660,web-src/tests/unit/common/components/inputs/TimePicker_test.js,<anonymous>_31,mocha_after,32,33,2,,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/bugy/script-server/blob/20cf080be609df19d30d3400c80c08c1e7876660/web-src/tests/unit/common/components/inputs/TimePicker_test.js#L32-L33,human_pre2022,human,,"after(function () {
    })",2020-12-26,4.65160848733744
bugy/script-server,javascript,20cf080be609df19d30d3400c80c08c1e7876660,web-src/tests/unit/main-app/components/MainAppSidebar_test.js,<anonymous>_45,after_each,46,48,3,,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/bugy/script-server/blob/20cf080be609df19d30d3400c80c08c1e7876660/web-src/tests/unit/main-app/components/MainAppSidebar_test.js#L46-L48,human_pre2022,human,,"afterEach(function () {
        sidebar.destroy();
    })",2020-12-26,4.65160848733744
bugy/script-server,javascript,20cf080be609df19d30d3400c80c08c1e7876660,web-src/tests/unit/main-app/components/scripts/ScriptLoadingText_test.js,<anonymous>_14,before_each,15,22,8,,0,per_test,1,1,0,0,0,0,0.0,1,https://github.com/bugy/script-server/blob/20cf080be609df19d30d3400c80c08c1e7876660/web-src/tests/unit/main-app/components/scripts/ScriptLoadingText_test.js#L15-L22,human_pre2022,human,,"beforeEach(function () {
        loadingText = mount(ScriptLoadingText, {
            attachToDocument: true,
            props: {
                delay: DEFAULT_DELAY
            }
        });
    })",2020-12-26,4.65160848733744
bugy/script-server,javascript,20cf080be609df19d30d3400c80c08c1e7876660,web-src/tests/unit/scriptExecutor_test.js,<anonymous>_71,before_each,72,76,4,,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/bugy/script-server/blob/20cf080be609df19d30d3400c80c08c1e7876660/web-src/tests/unit/scriptExecutor_test.js#L72-L76,human_pre2022,human,,"beforeEach(async function () {
            store = createStore();

            await store.dispatch('scriptExecutor/reconnect');
        })",2020-12-26,4.65160848733744
bugy/script-server,javascript,20cf080be609df19d30d3400c80c08c1e7876660,web-src/tests/unit/terminal_model_test.js,<anonymous>_385,before_each,386,388,3,,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/bugy/script-server/blob/20cf080be609df19d30d3400c80c08c1e7876660/web-src/tests/unit/terminal_model_test.js#L386-L388,human_pre2022,human,,"beforeEach(function () {
            addChangedLinesListener(this);
        })",2020-12-26,4.65160848733744
ardupilot/pymavlink,javascript,13828ba39460b1012ae5bcd6e27fc43fd0d62434,generator/javascript/test/mavlink10.js,<anonymous>_11,before_each,12,21,8,,0,per_test,1,1,0,3,0,2,0.25,0,https://github.com/ardupilot/pymavlink/blob/13828ba39460b1012ae5bcd6e27fc43fd0d62434/generator/javascript/test/mavlink10.js#L12-L21,human_pre2022,human,,"beforeEach(function() {
        var {mavlink10, MAVLink10Processor} = require('../implementations/mavlink_common_v1.0/mavlink.js');
        this.m = new MAVLink10Processor();

        // Valid heartbeat payload
        this.heartbeatPayload = new Buffer.from([0xfe, 0x09, 0x03, 0xff , 0x00 , 0x00 , 0x00 , 0x00 , 0x00 , 0x00 , 0x06 , 0x08 , 0x00 , 0x00 , 0x03, 0x9f, 0x5c]);

        // Complete but invalid message
        this.completeInvalidMessage = new Buffer.from([0xfe, 0x00, 0xfe, 0x00, 0x00, 0xe0, 0x00, 0x00]);
    })",2020-12-29,4.3203285420944555
desec-io/desec-stack,javascript,075c28666408080306ce6d4430cbe294e44ffdb6,test/e2e/setup.js,<anonymous>_11,mocha_after,12,12,1,,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/desec-io/desec-stack/blob/075c28666408080306ce6d4430cbe294e44ffdb6/test/e2e/setup.js#L12-L12,human_pre2022,human,,"after(""tear down udp4 socket"", function () { socket.close(); })",2020-12-30,4.257357973990418
desec-io/desec-stack,javascript,075c28666408080306ce6d4430cbe294e44ffdb6,test/e2e/spec/api_spec.js,<anonymous>_511,mocha_before,512,524,13,,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/desec-io/desec-stack/blob/075c28666408080306ce6d4430cbe294e44ffdb6/test/e2e/spec/api_spec.js#L512-L524,human_pre2022,human,,"before(function () {
                        var response = chakram.post(
                            '/domains/' + domain + '/rrsets/',
                            [
                                {'subname': 'a.2', 'ttl': 3650, 'type': 'TXT', 'records': ['""foo""']},
                                {'subname': 'c.2', 'ttl': 3650, 'type': 'TXT', 'records': ['""foo""']},
                                {'subname': 'delete-test', 'ttl': 3650, 'type': 'A', 'records': ['127.1.2.3']},
                                {'subname': 'replace-test-1', 'ttl': 3650, 'type': 'AAAA', 'records': ['::1', '::2']},
                                {'subname': 'replace-test-2', 'ttl': 3650, 'type': 'AAAA', 'records': ['::1', '::2']},
                            ]
                        );
                        return expect(response).to.have.status(201);
                    })",2020-12-30,4.257357973990418
