repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,has_teardown_pair,github_url,agent_type,commit_kind,commit_type,raw_source,is_complete_addition
alibaba/nacos,java,9c60d18f4723e3627c89186cd4aef3a8a3fcd6e6,ai/src/test/java/com/alibaba/nacos/ai/controller/PipelineAdminControllerTest.java,setUp,junit5_before_each,60,64,5,junit,0,per_test,1,1,0,2,0,1,https://github.com/alibaba/nacos/blob/9c60d18f4723e3627c89186cd4aef3a8a3fcd6e6/ai/src/test/java/com/alibaba/nacos/ai/controller/PipelineAdminControllerTest.java#L60-L64,claude,agent,none,"@BeforeEach
    void setUp() {
        EnvUtil.setEnvironment(new StandardEnvironment());
        mockMvc = MockMvcBuilders.standaloneSetup(new PipelineAdminController(pipelineQueryService)).build();
    }",1
alibaba/nacos,java,9c60d18f4723e3627c89186cd4aef3a8a3fcd6e6,ai/src/test/java/com/alibaba/nacos/ai/controller/PipelineAdminControllerTest.java,tearDown,junit5_after_each,66,68,3,junit,0,per_test,1,1,0,0,0,0,https://github.com/alibaba/nacos/blob/9c60d18f4723e3627c89186cd4aef3a8a3fcd6e6/ai/src/test/java/com/alibaba/nacos/ai/controller/PipelineAdminControllerTest.java#L66-L68,claude,agent,none,"@AfterEach
    void tearDown() {
    }",1
alibaba/nacos,java,9c60d18f4723e3627c89186cd4aef3a8a3fcd6e6,console/src/test/java/com/alibaba/nacos/console/controller/v3/ai/ConsolePipelineControllerTest.java,setUp,junit5_before_each,60,64,5,junit,0,per_test,1,1,0,2,0,1,https://github.com/alibaba/nacos/blob/9c60d18f4723e3627c89186cd4aef3a8a3fcd6e6/console/src/test/java/com/alibaba/nacos/console/controller/v3/ai/ConsolePipelineControllerTest.java#L60-L64,claude,agent,none,"@BeforeEach
    void setUp() {
        EnvUtil.setEnvironment(new StandardEnvironment());
        mockMvc = MockMvcBuilders.standaloneSetup(new ConsolePipelineController(pipelineProxy)).build();
    }",1
alibaba/nacos,java,9c60d18f4723e3627c89186cd4aef3a8a3fcd6e6,console/src/test/java/com/alibaba/nacos/console/controller/v3/ai/ConsolePipelineControllerTest.java,tearDown,junit5_after_each,66,68,3,junit,0,per_test,1,1,0,0,0,0,https://github.com/alibaba/nacos/blob/9c60d18f4723e3627c89186cd4aef3a8a3fcd6e6/console/src/test/java/com/alibaba/nacos/console/controller/v3/ai/ConsolePipelineControllerTest.java#L66-L68,claude,agent,none,"@AfterEach
    void tearDown() {
    }",1
alibaba/nacos,java,9c60d18f4723e3627c89186cd4aef3a8a3fcd6e6,maintainer-client/src/test/java/com/alibaba/nacos/maintainer/client/ai/PipelineMaintainerServiceImplTest.java,setUp,junit5_before_each,56,70,15,junit,0,per_test,1,1,0,1,0,0,https://github.com/alibaba/nacos/blob/9c60d18f4723e3627c89186cd4aef3a8a3fcd6e6/maintainer-client/src/test/java/com/alibaba/nacos/maintainer/client/ai/PipelineMaintainerServiceImplTest.java#L56-L70,claude,agent,none,"@BeforeEach
    void setUp() throws NacosException, NoSuchFieldException, IllegalAccessException {
        Properties properties = new Properties();
        properties.put(PropertyKeyConst.SERVER_ADDR, ""127.0.0.1:8848"");
        AiMaintainerService aiMaintainerService = AiMaintainerFactory.createAiMaintainerService(properties);
        Field pipelineField = NacosAiMaintainerServiceImpl.class.getDeclaredField(""pipelineMaintainerService"");
        pipelineField.setAccessible(true);
        pipelineMaintainerService = (PipelineMaintainerService) pipelineField.get(aiMaintainerService);
        Field contextField = AbstractAiDelegateMaintainerService.class.getDeclaredField(""context"");
        contextField.setAccessible(true);
        Object context = contextField.get(pipelineMaintainerService);
        Field clientHttpProxyField = AiMaintainerHttpContext.class.getDeclaredField(""clientHttpProxy"");
        clientHttpProxyField.setAccessible(true);
        clientHttpProxyField.set(context, clientHttpProxy);
    }",1
alibaba/nacos,java,b21d8a215b762444e7383ac9070fae4fe8a08312,client-basic/src/test/java/com/alibaba/nacos/client/auth/oidc/OidcClientAuthServiceImplTest.java,afterEach,junit5_after_each,134,140,7,junit,0,per_test,2,2,0,0,0,0,https://github.com/alibaba/nacos/blob/b21d8a215b762444e7383ac9070fae4fe8a08312/client-basic/src/test/java/com/alibaba/nacos/client/auth/oidc/OidcClientAuthServiceImplTest.java#L134-L140,claude,agent,test,"@AfterEach
    void afterEach() {
        if (httpServer != null) {
            httpServer.stop(0);
            httpServer = null;
        }
    }",1
alibaba/nacos,java,b21d8a215b762444e7383ac9070fae4fe8a08312,client-basic/src/test/java/com/alibaba/nacos/client/auth/oidc/OidcClientContextTest.java,afterEach,junit5_after_each,172,178,7,junit,0,per_test,2,2,0,0,0,0,https://github.com/alibaba/nacos/blob/b21d8a215b762444e7383ac9070fae4fe8a08312/client-basic/src/test/java/com/alibaba/nacos/client/auth/oidc/OidcClientContextTest.java#L172-L178,claude,agent,test,"@AfterEach
    void afterEach() {
        if (httpServer != null) {
            httpServer.stop(0);
            httpServer = null;
        }
    }",1
alibaba/nacos,java,b21d8a215b762444e7383ac9070fae4fe8a08312,client-basic/src/test/java/com/alibaba/nacos/client/auth/oidc/OidcTokenHolderTest.java,tearDown,junit5_after_each,55,61,7,junit,0,per_test,2,2,0,0,0,0,https://github.com/alibaba/nacos/blob/b21d8a215b762444e7383ac9070fae4fe8a08312/client-basic/src/test/java/com/alibaba/nacos/client/auth/oidc/OidcTokenHolderTest.java#L55-L61,claude,agent,test,"@AfterEach
    void tearDown() {
        if (httpServer != null) {
            httpServer.stop(0);
            httpServer = null;
        }
    }",1
alibaba/nacos,java,b21d8a215b762444e7383ac9070fae4fe8a08312,client-basic/src/test/java/com/alibaba/nacos/client/auth/ram/injector/AiResourceInjectorTest.java,setUp,junit5_before_each,53,68,16,junit,0,per_test,1,1,0,4,0,1,https://github.com/alibaba/nacos/blob/b21d8a215b762444e7383ac9070fae4fe8a08312/client-basic/src/test/java/com/alibaba/nacos/client/auth/ram/injector/AiResourceInjectorTest.java#L53-L68,claude,agent,test,"@BeforeEach
    void setUp() {
        aiResourceInjector = new AiResourceInjector();
        ramContext = new RamContext();
        ramContext.setAccessKey(PropertyKeyConst.ACCESS_KEY);
        ramContext.setSecretKey(PropertyKeyConst.SECRET_KEY);
        resource = new RequestResource();
        resource.setType(SignType.AI);
        resource.setNamespace(""ai-namespace"");
        resource.setGroup(""ai-group"");
        cachedSecurityCredentialsUrl = StsConfig.getInstance().getSecurityCredentialsUrl();
        cachedSecurityCredentials = StsConfig.getInstance().getSecurityCredentials();
        StsConfig.getInstance().setSecurityCredentialsUrl("""");
        StsConfig.getInstance().setSecurityCredentials("""");
        stsCredential = new StsCredential();
    }",1
alibaba/nacos,java,b21d8a215b762444e7383ac9070fae4fe8a08312,client-basic/src/test/java/com/alibaba/nacos/client/auth/ram/injector/AiResourceInjectorTest.java,tearDown,junit5_after_each,70,75,6,junit,0,per_test,1,1,0,0,0,0,https://github.com/alibaba/nacos/blob/b21d8a215b762444e7383ac9070fae4fe8a08312/client-basic/src/test/java/com/alibaba/nacos/client/auth/ram/injector/AiResourceInjectorTest.java#L70-L75,claude,agent,test,"@AfterEach
    void tearDown() throws NoSuchFieldException, IllegalAccessException {
        StsConfig.getInstance().setSecurityCredentialsUrl(cachedSecurityCredentialsUrl);
        StsConfig.getInstance().setSecurityCredentials(cachedSecurityCredentials);
        clearForSts();
    }",1
